Period,OrgCode,OrgName,Type1_Attendance,Type2_Attendance,Other_Attendance,Total_Attendance,Over4hrs_Type1,Wait_4_12hrs,Wait_12plus_hrs,Emergency_Admissions_Type1,Emergency_Admissions_Other,Emergency_Admissions_Total
MSitAE-APRIL-2024,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6727,0,3182,9909,3288,664,651,1807,0,1807
MSitAE-APRIL-2024,RXF,MID YORKSHIRE TEACHING NHS TRUST,17513,162,5006,22681,7000,2264,114,3563,149,3712
MSitAE-APRIL-2024,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12647,0,4146,16793,5388,2269,13,4306,0,4306
MSitAE-APRIL-2024,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,6,6
MSitAE-APRIL-2024,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11395,3944,6932,22271,4969,669,152,4019,0,4019
MSitAE-APRIL-2024,ARN03,LOCAL CARE DIRECT,0,0,2189,2189,0,0,0,0,0,0
MSitAE-APRIL-2024,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8258,0,0,8258,3304,772,39,2421,14,2435
MSitAE-APRIL-2024,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12252,12252,0,0,0,0,0,0
MSitAE-APRIL-2024,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12585,2426,13415,28426,5543,721,657,7837,0,7837
MSitAE-APRIL-2024,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8906,1137,7457,17500,4356,1236,5,3737,0,3737
MSitAE-APRIL-2024,RJ2,LEWISHAM AND GREENWICH NHS TRUST,13071,0,11391,24462,7203,1091,733,3639,0,3639
MSitAE-APRIL-2024,RKE,WHITTINGTON HEALTH NHS TRUST,8958,0,0,8958,2515,196,428,1004,0,1004
MSitAE-APRIL-2024,RN7,DARTFORD AND GRAVESHAM NHS TRUST,10890,0,3474,14364,3338,909,120,2813,0,2813
MSitAE-APRIL-2024,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8617,0,2740,11357,2626,511,354,2977,17,2994
MSitAE-APRIL-2024,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,16959,0,7515,24474,7393,563,302,7177,0,7177
MSitAE-APRIL-2024,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,18315,0,8065,26380,7442,986,905,3827,0,3827
MSitAE-APRIL-2024,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18886,0,5831,24717,4549,905,26,2657,0,2657
MSitAE-APRIL-2024,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6572,0,1327,7899,2006,333,1,2491,0,2491
MSitAE-APRIL-2024,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8335,0,0,8335,2671,456,0,2872,0,2872
MSitAE-APRIL-2024,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1400,1400,0,0,0,0,3,3
MSitAE-APRIL-2024,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12195,0,0,12195,4209,419,144,1364,0,1364
MSitAE-APRIL-2024,Y02147,URGENT CARE CENTRE (QMS),0,0,7556,7556,0,0,0,0,0,0
MSitAE-APRIL-2024,AXG,WILTSHIRE HEALTH & CARE,0,0,2355,2355,0,0,0,0,0,0
MSitAE-APRIL-2024,C82038,LATHAM HOUSE MEDICAL PRACTICE,0,0,274,274,0,0,0,0,0,0
MSitAE-APRIL-2024,G0Q0L,BARKING HOSPITAL UTC,0,0,2758,2758,0,0,0,0,0,0
MSitAE-APRIL-2024,K6K0R,HAROLD WOOD POLYCLINIC UTC,0,0,2858,2858,0,0,0,0,0,0
MSitAE-APRIL-2024,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5442,5442,0,0,0,0,0,0
MSitAE-APRIL-2024,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14949,1654,7385,23988,6916,2040,1268,4976,0,4976
MSitAE-APRIL-2024,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10569,0,0,10569,1770,158,17,1702,0,1702
MSitAE-APRIL-2024,Y02676,BRIGHTON STATION HEALTH CENTRE,0,0,1953,1953,0,0,0,0,0,0
MSitAE-APRIL-2024,Y07709,READING URGENT CARE CENTRE,0,0,2165,2165,0,0,0,0,0,0
MSitAE-APRIL-2024,NQT51,STATION PLAZA HEALTH CENTRE,0,0,1625,1625,0,0,0,0,0,0
MSitAE-APRIL-2024,RJN,EAST CHESHIRE NHS TRUST,4227,0,0,4227,2040,265,144,848,0,848
MSitAE-APRIL-2024,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,11308,594,2420,14322,3500,337,907,1885,0,1885
MSitAE-APRIL-2024,RW4,MERSEY CARE NHS FOUNDATION TRUST,0,0,10698,10698,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ,DHU HEALTH CARE C.I.C,0,0,2054,2054,0,0,0,0,0,0
MSitAE-APRIL-2024,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11076,1348,5875,18299,5043,695,3,4348,0,4348
MSitAE-APRIL-2024,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,8172,0,0,8172,2707,593,2,2978,0,2978
MSitAE-APRIL-2024,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,3132,3132,0,0,0,0,1,1
MSitAE-APRIL-2024,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8081,0,7466,15547,3123,841,1,3826,0,3826
MSitAE-APRIL-2024,NTV0W,WOKING WALK IN CENTRE,0,0,2482,2482,0,0,0,0,0,0
MSitAE-APRIL-2024,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5566,5566,0,0,0,0,0,0
MSitAE-APRIL-2024,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28759,0,5982,34741,7935,2656,5,8966,231,9197
MSitAE-APRIL-2024,8J094,BADGER LTD,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,AD913,BECKENHAM BEACON UCC,0,0,3694,3694,0,0,0,0,0,0
MSitAE-APRIL-2024,AQN04,PHL LYMINGTON UTC,0,0,2897,2897,0,0,0,0,0,0
MSitAE-APRIL-2024,L83087,OKEHAMPTON MEDICAL CENTRE,0,0,65,65,0,0,0,0,0,0
MSitAE-APRIL-2024,NQTE4,SUMMERFIELD URGENT CARE CENTRE,0,0,3251,3251,0,0,0,0,0,0
MSitAE-APRIL-2024,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6247,0,3233,9480,3037,315,86,1686,0,1686
MSitAE-APRIL-2024,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,1,1
MSitAE-APRIL-2024,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,11,11
MSitAE-APRIL-2024,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15028,0,0,15028,4313,1354,2,2969,0,2969
MSitAE-APRIL-2024,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9767,1186,3547,14500,3673,321,265,3741,0,3741
MSitAE-APRIL-2024,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4382,4382,0,0,0,0,0,0
MSitAE-APRIL-2024,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6272,6272,0,0,0,0,0,0
MSitAE-APRIL-2024,Y00751,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,Y02532,MIRIAM MINOR EMERGENCY,0,0,1706,1706,0,0,0,0,0,0
MSitAE-APRIL-2024,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6526,6526,0,0,0,0,0,0
MSitAE-APRIL-2024,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,Y03218,THE PINN UNREGISTERED WIC,0,0,924,924,0,0,0,0,0,0
MSitAE-APRIL-2024,DT301,HERTS URGENT CARE (ASCOTS LANE),0,0,2273,2273,0,0,0,0,0,0
MSitAE-APRIL-2024,NQT5F,SKELMERSDALE WALK IN CENTRE,0,0,1871,1871,0,0,0,0,0,0
MSitAE-APRIL-2024,NQT5H,PAULTON MEMORIAL HOSPITAL,0,0,925,925,0,0,0,0,0,0
MSitAE-APRIL-2024,NTV0B,ASHFORD WALK-IN-CENTRE,0,0,2476,2476,0,0,0,0,0,0
MSitAE-APRIL-2024,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,10020,10020,0,0,0,0,0,0
MSitAE-APRIL-2024,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,ACH01,WHITSTABLE MEDICAL PRACTICE,0,0,4419,4419,0,0,0,0,0,0
MSitAE-APRIL-2024,NV693,ROSSENDALE MIU & OOH,0,0,1019,1019,0,0,0,0,0,0
MSitAE-APRIL-2024,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12739,0,4818,17557,5255,863,131,3992,0,3992
MSitAE-APRIL-2024,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15115,2307,0,17422,5366,1201,350,5118,0,5118
MSitAE-APRIL-2024,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9299,910,2849,13058,2164,623,94,2314,66,2380
MSitAE-APRIL-2024,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5628,0,0,5628,712,0,0,920,0,920
MSitAE-APRIL-2024,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4319,0,214,4533,516,9,0,868,0,868
MSitAE-APRIL-2024,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,21666,990,12046,34702,8793,2206,181,5878,0,5878
MSitAE-APRIL-2024,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1265,0,1265,0,0,0,0,0,0
MSitAE-APRIL-2024,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13330,490,8542,22362,6574,1060,927,5823,0,5823
MSitAE-APRIL-2024,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,13101,0,8087,21188,3736,1074,156,5774,0,5774
MSitAE-APRIL-2024,RLQ,WYE VALLEY NHS TRUST,6127,1329,0,7456,2349,383,293,2019,0,2019
MSitAE-APRIL-2024,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,32656,307,1558,34521,13825,2112,2228,10561,0,10561
MSitAE-APRIL-2024,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,20711,0,9871,30582,8262,838,754,3991,2,3993
MSitAE-APRIL-2024,RVJ,NORTH BRISTOL NHS TRUST,8952,0,0,8952,3265,661,324,2825,0,2825
MSitAE-APRIL-2024,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4459,0,11238,15697,1734,80,0,1618,584,2202
MSitAE-APRIL-2024,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11493,0,3788,15281,4564,1061,459,2940,158,3098
MSitAE-APRIL-2024,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,12318,0,10055,22373,4052,385,1113,3462,80,3542
MSitAE-APRIL-2024,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,916,916,0,0,0,0,0,0
MSitAE-APRIL-2024,AJN,WORKINGTON HEALTH LIMITED,0,0,344,344,0,0,0,0,0,0
MSitAE-APRIL-2024,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4045,4045,0,0,0,0,0,0
MSitAE-APRIL-2024,Y02428,PUTNOE WALK IN CENTRE,0,0,3102,3102,0,0,0,0,0,0
MSitAE-APRIL-2024,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,10114,10114,0,0,0,0,0,0
MSitAE-APRIL-2024,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1691,1691,0,0,0,0,0,0
MSitAE-APRIL-2024,R1H,BARTS HEALTH NHS TRUST,23379,915,16891,41185,11368,880,1225,4700,0,4700
MSitAE-APRIL-2024,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8434,0,10404,18838,3726,428,517,2485,0,2485
MSitAE-APRIL-2024,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3432,3432,0,0,0,0,0,0
MSitAE-APRIL-2024,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2183,2183,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,0,0,6079,6079,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,208,208,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ12,MARKET HARBOROUGH,0,0,101,101,0,0,0,0,0,0
MSitAE-APRIL-2024,NNJ13,MELTON MOWBRAY,0,0,71,71,0,0,0,0,0,0
MSitAE-APRIL-2024,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5160,5160,0,0,0,0,0,0
MSitAE-APRIL-2024,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3359,3359,0,0,0,0,0,0
MSitAE-APRIL-2024,RBV,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2024,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,6105,0,11367,17472,3146,546,371,2190,50,2240
MSitAE-APRIL-2024,NNJ15,OAKHAM,0,0,75,75,0,0,0,0,0,0
MSitAE-APRIL-2024,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15174,0,8660,23834,6963,1435,943,3592,0,3592
MSitAE-APRIL-2024,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9265,0,4928,14193,2751,2125,135,3452,0,3452
MSitAE-APRIL-2024,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9087,0,8804,17891,3344,1372,0,1996,0,1996
MSitAE-APRIL-2024,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,6050,0,6050,0,0,0,0,0,0
MSitAE-APRIL-2024,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0
